"episode","first","references"
"S06E01","Davos",3
"S06E02","Davos",1
"S06E03","Davos",0
"S06E04","Davos",2
"S06E05","Davos",3
"S06E06","Davos",0
"S06E07","Davos",4
"S06E08","Davos",0
"S06E09","Davos",0
"S06E10","Davos",0
"S07E01","Davos",2
"S07E02","Davos",1
"S07E03","Davos",5
"S07E04","Davos",5
"S07E05","Davos",7
"S07E06","Davos",3
"S07E07","Davos",1
"S01E01","Eddard",3
"S01E02","Eddard",1
"S01E03","Eddard",0
"S01E04","Eddard",1
"S01E05","Eddard",0
"S01E06","Eddard",0
"S01E07","Eddard",3
"S01E08","Eddard",6
"S01E09","Eddard",2
"S01E10","Eddard",1
"S02E01","Eddard",1
"S02E02","Eddard",0
"S02E03","Eddard",1
"S02E04","Eddard",1
"S02E05","Eddard",0
"S02E06","Eddard",0
"S02E07","Eddard",3
"S02E08","Eddard",0
"S02E09","Eddard",0
"S02E10","Eddard",0
"S03E01","Eddard",0
"S03E02","Eddard",0
"S03E03","Eddard",0
"S03E04","Eddard",0
"S03E05","Eddard",0
"S03E06","Eddard",0
"S03E07","Eddard",0
"S03E08","Eddard",0
"S03E09","Eddard",1
"S03E10","Eddard",0
"S04E01","Eddard",0
"S04E02","Eddard",0
"S04E03","Eddard",0
"S04E04","Eddard",0
"S04E05","Eddard",0
"S04E06","Eddard",0
"S04E07","Eddard",0
"S04E08","Eddard",1
"S04E09","Eddard",0
"S04E10","Eddard",0
"S05E01","Eddard",0
"S05E02","Eddard",0
"S05E03","Eddard",0
"S05E04","Eddard",0
"S05E05","Eddard",1
"S05E06","Eddard",1
"S05E07","Eddard",0
"S05E08","Eddard",0
"S05E09","Eddard",0
"S05E10","Eddard",0
"S06E01","Eddard",0
"S06E02","Eddard",0
"S06E03","Eddard",1
"S06E04","Eddard",0
"S06E05","Eddard",0
"S06E06","Eddard",0
"S06E07","Eddard",0
"S06E08","Eddard",0
"S06E09","Eddard",0
"S06E10","Eddard",0
"S07E01","Eddard",0
"S07E02","Eddard",0
"S07E03","Eddard",0
"S07E04","Eddard",0
"S07E05","Eddard",0
"S07E06","Eddard",0
"S07E07","Eddard",0
"S01E01","Ellaria",0
"S01E02","Ellaria",0
"S01E03","Ellaria",0
"S01E04","Ellaria",0
"S01E05","Ellaria",0
"S01E06","Ellaria",0
"S01E07","Ellaria",0
"S01E08","Ellaria",0
"S01E09","Ellaria",0
"S01E10","Ellaria",0
"S02E01","Ellaria",0
"S02E02","Ellaria",0
"S02E03","Ellaria",0
"S02E04","Ellaria",0
"S02E05","Ellaria",0
"S02E06","Ellaria",0
"S02E07","Ellaria",0
"S02E08","Ellaria",0
"S02E09","Ellaria",0
"S02E10","Ellaria",0
"S03E01","Ellaria",0
"S03E02","Ellaria",0
"S03E03","Ellaria",0
"S03E04","Ellaria",0
"S03E05","Ellaria",0
"S03E06","Ellaria",0
"S03E07","Ellaria",0
"S03E08","Ellaria",0
"S03E09","Ellaria",0
"S03E10","Ellaria",0
"S04E01","Ellaria",1
"S04E02","Ellaria",2
"S04E03","Ellaria",0
"S04E04","Ellaria",0
"S04E05","Ellaria",0
"S04E06","Ellaria",1
"S04E07","Ellaria",0
"S04E08","Ellaria",0
"S04E09","Ellaria",0
"S04E10","Ellaria",0
"S05E01","Ellaria",0
"S05E02","Ellaria",0
"S05E03","Ellaria",0
"S05E04","Ellaria",0
"S05E05","Ellaria",0
"S05E06","Ellaria",0
"S05E07","Ellaria",0
"S05E08","Ellaria",0
"S05E09","Ellaria",0
"S05E10","Ellaria",0
"S06E01","Ellaria",0
"S06E02","Ellaria",0
"S06E03","Ellaria",0
"S06E04","Ellaria",0
"S06E05","Ellaria",0
"S06E06","Ellaria",0
"S06E07","Ellaria",0
"S06E08","Ellaria",0
"S06E09","Ellaria",0
"S06E10","Ellaria",0
"S07E01","Ellaria",1
"S07E02","Ellaria",0
